time,pred,actual
0,0.44983431696891785,0.5134954452514648
1,0.5327239632606506,0.5156325101852417
2,0.5623701214790344,0.5154200196266174
3,0.5735920071601868,0.5188921689987183
4,0.5765123963356018,0.5096560120582581
5,0.5780012011528015,0.5079147219657898
6,0.5819526314735413,0.5076131224632263
7,0.5829617977142334,0.5059760212898254
8,0.5845968127250671,0.5108382105827332
9,0.5856693983078003,0.4966181218624115
10,0.5813921093940735,0.48899272084236145
11,0.5802043080329895,0.493022084236145
12,0.5794082880020142,0.48324117064476013
13,0.57611483335495,0.4747152626514435
14,0.570601761341095,0.47056862711906433
15,0.576903223991394,0.4701037108898163
16,0.575097918510437,0.46794232726097107
17,0.5745989084243774,0.46906810998916626
18,0.5764046907424927,0.4742129147052765
19,0.5799382328987122,0.4773745536804199
20,0.5846887826919556,0.4813879132270813
21,0.5889771580696106,0.48758265376091003
22,0.5950943231582642,0.48866888880729675
23,0.601717472076416,0.5014836192131042
24,0.6096618175506592,0.5483357906341553
25,0.6097652316093445,0.5668550133705139
26,0.6197127103805542,0.5844377279281616
27,0.6246213912963867,0.5901502370834351
28,0.6278760433197021,0.595832347869873
29,0.6322858929634094,0.5948346853256226
30,0.6327636241912842,0.5922583937644958
31,0.6330846548080444,0.5862851142883301
32,0.634492039680481,0.5838629007339478
33,0.63519287109375,0.5875192284584045
34,0.6332651376724243,0.5916739106178284
35,0.6176143288612366,0.5932799577713013
36,0.6102769374847412,0.5938518643379211
37,0.6005041599273682,0.5958265662193298
38,0.5905002355575562,0.5969351530075073
39,0.5804903507232666,0.5987115502357483
40,0.5743077397346497,0.5984504818916321
41,0.5621055960655212,0.6020694375038147
42,0.5495536923408508,0.6051009297370911
43,0.5423360466957092,0.6073160171508789
44,0.5326538681983948,0.6105042099952698
45,0.5379275679588318,0.6108089685440063
46,0.5309752821922302,0.6154548525810242
47,0.5279515981674194,0.6195226907730103
48,0.5280316472053528,0.6259369254112244
49,0.5367191433906555,0.642410159111023
50,0.5396433472633362,0.6660810708999634
51,0.5441235303878784,0.6819977164268494
52,0.547754168510437,0.6850823163986206
53,0.5518465042114258,0.6858790516853333
54,0.5564825534820557,0.68114173412323
55,0.543704628944397,0.6748862266540527
56,0.5449493527412415,0.6539615988731384
57,0.5372400879859924,0.62647944688797
58,0.5291998386383057,0.6139309406280518
59,0.5200624465942383,0.6046892404556274
60,0.5212730169296265,0.6055654883384705
61,0.5165820717811584,0.6042370200157166
62,0.5148463249206543,0.5927872061729431
63,0.5123171210289001,0.5955708026885986
64,0.5100533366203308,0.5940417051315308
65,0.5089923739433289,0.5834802389144897
66,0.5073158144950867,0.5830033421516418
67,0.5091895461082458,0.5832086801528931
68,0.509826123714447,0.5838272571563721
69,0.503872811794281,0.5840862393379211
70,0.4974837601184845,0.5849798917770386
71,0.49288955330848694,0.5771550536155701
72,0.4891037046909332,0.5749819278717041
73,0.48525622487068176,0.5741205215454102
74,0.48232463002204895,0.5706496238708496
75,0.4781576097011566,0.5444819331169128
76,0.47563350200653076,0.5301080346107483
77,0.4727308452129364,0.5090914368629456
78,0.4688648283481598,0.47672519087791443
79,0.4662274420261383,0.43620172142982483
80,0.46347105503082275,0.39771032333374023
81,0.4612670838832855,0.38621726632118225
82,0.45942753553390503,0.3750191032886505
83,0.4559553563594818,0.3712274730205536
84,0.45378026366233826,0.37409719824790955
85,0.4417979419231415,0.37274640798568726
86,0.4347548484802246,0.35800933837890625
87,0.42729946970939636,0.3531157374382019
88,0.4196533262729645,0.3529350161552429
89,0.40918344259262085,0.34026437997817993
90,0.4042569696903229,0.32522642612457275
91,0.39757195115089417,0.3237878680229187
92,0.39159631729125977,0.3164726495742798
93,0.38499850034713745,0.31390854716300964
94,0.3804928958415985,0.3137785494327545
95,0.38029947876930237,0.3137785494327545
96,0.37845978140830994,0.31060677766799927
97,0.377939373254776,0.3062257468700409
98,0.3776609003543854,0.30733075737953186
99,0.37507757544517517,0.30744698643684387
100,0.3844914138317108,0.3076527416706085
101,0.3882621228694916,0.318451464176178
102,0.38992834091186523,0.35150179266929626
103,0.39481496810913086,0.3516128659248352
104,0.39915505051612854,0.3739275634288788
